work_year,salary,salary_in_usd,remote_ratio,experiencia_num,tamanio_campania,index_job
2020,70000,79833,0,2,3,1
2020,260000,260000,0,3,1,2
2020,85000,109024,50,3,2,3
2020,20000,20000,0,2,1,4
2020,150000,150000,50,3,3,5
2020,72000,72000,100,1,3,6
2020,190000,190000,100,3,1,7
2020,11000000,35735,50,2,3,1
2020,135000,135000,100,2,3,8
2020,125000,125000,50,3,1,9
2020,45000,51321,0,1,1,1
2020,3000000,40481,0,2,3,1
2020,35000,39916,0,1,2,1
2020,87000,87000,100,2,3,10
2020,85000,85000,100,2,3,6
2020,8000,8000,50,2,3,6
2020,4450000,41689,100,1,1,11
2020,100000,114047,100,3,1,3
2020,423000,5707,50,1,2,12
2020,56000,56000,100,2,2,9
2020,299000,43331,0,2,2,5
2020,450000,6072,100,2,3,4
2020,42000,47899,50,3,3,11
2020,98000,98000,0,2,2,13
2020,115000,115000,0,2,3,7
2020,325000,325000,100,4,3,14
2020,42000,42000,50,1,3,15
2020,720000,33511,0,3,1,11
2020,100000,100000,100,1,3,8
2020,157000,117104,50,3,3,16
2020,51999,59303,100,2,1,17
2020,70000,70000,100,1,3,3
2020,60000,68428,100,3,3,1
2020,450000,450000,0,2,2,15
2020,41000,46759,50,2,3,6
2020,65000,74130,50,2,3,11
2020,103000,103000,100,2,3,12
2020,250000,250000,50,1,3,5
2020,10000,10000,100,1,1,6
2020,138000,138000,100,1,1,5
2020,45760,45760,100,2,1,1
2020,70000,79833,50,4,3,17
2020,44000,50180,0,2,2,18
2020,106000,106000,100,2,3,11
2020,88000,112872,50,2,3,11
2020,14000,15966,100,1,1,19
2020,60000,76958,100,2,1,1
2020,188000,188000,100,3,3,11
2020,105000,105000,100,2,3,1
2020,61500,70139,50,2,3,11
2020,450000,6072,0,1,1,6
2020,91000,91000,100,1,3,6
2020,300000,45896,50,1,1,20
2020,48000,54742,100,1,3,11
2020,60000,60000,100,3,1,21
2020,130000,148261,100,3,2,22
2020,34000,38776,100,2,2,1
2020,118000,118000,100,2,2,1
2020,120000,120000,50,3,3,1
2020,138350,138350,100,2,2,1
2020,110000,110000,100,2,3,11
2020,130800,130800,100,2,2,11
2020,19000,21669,50,1,1,1
2020,412000,412000,100,3,3,1
2020,40000,45618,100,3,1,5
2020,55000,62726,50,1,1,1
2020,43200,49268,0,1,1,1
2020,190200,190200,100,3,2,23
2020,105000,105000,100,1,1,1
2020,80000,91237,0,3,1,1
2020,55000,62726,50,2,1,1
2020,37000,42197,50,2,1,1
2021,60000,82528,50,1,3,15
2021,150000,150000,100,4,3,13
2021,235000,235000,100,4,3,24
2021,45000,53192,50,3,3,1
2021,100000,100000,100,2,2,13
2021,400000,5409,50,2,2,25
2021,270000,270000,100,2,3,19
2021,80000,80000,100,1,2,6
2021,67000,79197,100,3,3,26
2021,140000,140000,100,2,3,11
2021,68000,54238,50,2,3,27
2021,40000,47282,100,2,1,5
2021,130000,153667,100,4,3,14
2021,110000,28476,100,2,3,11
2021,50000,59102,50,1,2,6
2021,110000,110000,100,2,3,26
2021,170000,170000,100,3,3,10
2021,80000,80000,100,3,1,6
2021,75000,88654,100,3,3,28
2021,65000,76833,100,1,1,12
2021,1450000,19609,100,2,3,10
2021,276000,276000,0,3,3,9
2021,2200000,29751,50,1,3,1
2021,120000,89294,50,2,3,29
2021,12000,12000,100,1,1,20
2021,450000,450000,100,2,3,30
2021,70000,70000,100,1,2,31
2021,81000,95746,100,2,1,31
2021,75000,75000,0,2,3,6
2021,150000,150000,100,3,3,11
2021,11000000,36259,50,2,3,13
2021,62000,62000,0,2,3,6
2021,73000,73000,0,2,3,1
2021,37456,51519,50,2,3,6
2021,235000,187442,100,2,3,15
2021,115000,115000,100,3,1,11
2021,150000,150000,100,3,2,11
2021,2250000,30428,100,1,3,11
2021,80000,94564,50,3,3,5
2021,82500,113476,100,3,2,32
2021,75000,103160,100,3,1,9
2021,12000,12000,100,1,2,20
2021,38400,45391,100,2,3,11
2021,225000,225000,100,1,3,2
2021,50000,50000,100,2,3,1
2021,34000,40189,100,2,2,33
2021,90000,90000,100,1,1,6
2021,200000,200000,100,2,3,11
2021,60000,60000,50,2,2,3
2021,200000,200000,100,3,2,34
2021,50000,50000,100,1,2,6
2021,80000,110037,0,1,3,27
2021,8760,10354,50,1,2,6
2021,151000,151000,100,2,3,22
2021,120000,120000,50,3,1,2
2021,700000,9466,0,2,1,1
2021,20000,20000,100,1,1,5
2021,3000000,40570,50,3,3,7
2021,100000,100000,50,1,1,35
2021,42000,49646,50,1,2,1
2021,38400,38400,100,2,2,36
2021,24000,24000,100,3,2,21
2021,100000,100000,0,1,1,1
2021,90000,90000,100,2,2,6
2021,7000000,63711,50,2,1,19
2021,8500000,77364,50,2,1,19
2021,220000,220000,0,3,3,22
2021,80000,80000,100,1,2,1
2021,135000,135000,100,2,3,6
2021,240000,240000,0,3,3,23
2021,150000,150000,0,3,3,17
2021,82500,82500,100,2,1,1
2021,100000,100000,100,2,3,11
2021,70000,82744,50,3,2,5
2021,53000,62649,50,2,2,15
2021,90000,90000,100,2,3,11
2021,153000,153000,100,3,3,17
2021,160000,160000,100,3,1,29
2021,168000,168000,0,3,1,14
2021,150000,150000,100,2,2,1
2021,95000,75774,100,2,3,1
2021,13400,13400,100,1,3,1
2021,144000,144000,100,3,3,23
2021,159500,127221,50,3,3,33
2021,160000,119059,100,2,2,1
2021,423000,423000,50,2,3,36
2021,120000,120000,100,3,2,37
2021,125000,125000,100,1,1,5
2021,230000,230000,50,4,3,24
2021,85000,85000,0,4,2,38
2021,24000,28369,50,2,3,11
